Vertex 305	| Centrality = 0.587572165576
Vertex 71	| Centrality = 0.163479519919
Vertex 72	| Centrality = 0.150170165272
Vertex 276	| Centrality = 0.147897693887
Vertex 146	| Centrality = 0.147686240043
Vertex 73	| Centrality = 0.144455292107
Vertex 74	| Centrality = 0.131034110212
Vertex 76	| Centrality = 0.128412600305
Vertex 234	| Centrality = 0.12649223564
Vertex 75	| Centrality = 0.123765601756


10 MENORES
Vertex 302	| Centrality = 0.0
Vertex 301	| Centrality = 0.0
Vertex 300	| Centrality = 0.0
Vertex 299	| Centrality = 0.0
Vertex 298	| Centrality = 0.0
Vertex 297	| Centrality = 0.0
Vertex 296	| Centrality = 0.0
Vertex 295	| Centrality = 0.0
Vertex 294	| Centrality = 0.0
Vertex 293	| Centrality = 0.0
