Vertex 305	| Centrality = 0.0668772201312
Vertex 306	| Centrality = 0.0144261927079
Vertex 90	| Centrality = 0.00744833675847
Vertex 89	| Centrality = 0.00665271327361
Vertex 169	| Centrality = 0.00580883747165
Vertex 71	| Centrality = 0.00579676026034
Vertex 121	| Centrality = 0.00577683484606
Vertex 276	| Centrality = 0.00514615573017
Vertex 168	| Centrality = 0.00491901680936
Vertex 72	| Centrality = 0.00491115577325


10 MENORES
Vertex 302	| Centrality = 0.000505050505051
Vertex 301	| Centrality = 0.000505050505051
Vertex 300	| Centrality = 0.000505050505051
Vertex 299	| Centrality = 0.000505050505051
Vertex 298	| Centrality = 0.000505050505051
Vertex 297	| Centrality = 0.000505050505051
Vertex 296	| Centrality = 0.000505050505051
Vertex 295	| Centrality = 0.000505050505051
Vertex 294	| Centrality = 0.000505050505051
Vertex 293	| Centrality = 0.000505050505051
